237665it [22:10:27,  2.98it/s]tf.Tensor(2512.4956, shape=(), dtype=float32)
237666it [22:10:27,  3.01it/s]tf.Tensor(3297.6045, shape=(), dtype=float32)
237667it [22:10:27,  3.01it/s]tf.Tensor(3548.4434, shape=(), dtype=float32)
237668it [22:10:28,  3.00it/s]tf.Tensor(2581.3364, shape=(), dtype=float32)
237669it [22:10:28,  3.00it/s]tf.Tensor(2835.181, shape=(), dtype=float32)
237670it [22:10:28,  3.00it/s]tf.Tensor(3210.355, shape=(), dtype=float32)
237671it [22:10:29,  2.99it/s]tf.Tensor(1817.0435, shape=(), dtype=float32)
237672it [22:10:29,  2.98it/s]tf.Tensor(3115.8225, shape=(), dtype=float32)
237673it [22:10:29,  2.99it/s]tf.Tensor(2750.9834, shape=(), dtype=float32)
237674it [22:10:30,  2.99it/s]tf.Tensor(4241.342, shape=(), dtype=float32)
237675it [22:10:30,  2.99it/s]tf.Tensor(4523.552, shape=(), dtype=float32)
237676it [22:10:30,  2.98it/s]tf.Tensor(3709.7217, shape=(), dtype=float32)
237677it [22:10:31,  2.98it/s]tf.Tensor(2937.3335, shape=(), dtype=float32)
237678it [22:10:31,  2.99it/s]tf.Tensor(2108.837, shape=(), dtype=float32)
237679it [22:10:31,  2.99it/s]tf.Tensor(5142.5312, shape=(), dtype=float32)
237680it [22:10:32,  2.97it/s]tf.Tensor(2066.035, shape=(), dtype=float32)
237681it [22:10:32,  2.96it/s]tf.Tensor(2405.5652, shape=(), dtype=float32)
237682it [22:10:32,  2.97it/s]tf.Tensor(2459.603, shape=(), dtype=float32)
237683it [22:10:33,  2.97it/s]tf.Tensor(2703.3003, shape=(), dtype=float32)
237684it [22:10:33,  2.98it/s]tf.Tensor(3989.9595, shape=(), dtype=float32)
237685it [22:10:33,  2.98it/s]tf.Tensor(1898.5284, shape=(), dtype=float32)
237686it [22:10:34,  2.98it/s]tf.Tensor(2252.5645, shape=(), dtype=float32)
237687it [22:10:34,  2.98it/s]tf.Tensor(1490.3923, shape=(), dtype=float32)
237688it [22:10:34,  3.00it/s]tf.Tensor(2762.2144, shape=(), dtype=float32)
237689it [22:10:35,  2.99it/s]tf.Tensor(2227.8696, shape=(), dtype=float32)
237690it [22:10:35,  2.99it/s]tf.Tensor(2887.228, shape=(), dtype=float32)
237691it [22:10:35,  2.98it/s]tf.Tensor(2237.7793, shape=(), dtype=float32)
237692it [22:10:36,  2.98it/s]tf.Tensor(2221.9429, shape=(), dtype=float32)
237693it [22:10:36,  2.99it/s]tf.Tensor(3434.3276, shape=(), dtype=float32)
237694it [22:10:36,  2.99it/s]tf.Tensor(2286.5293, shape=(), dtype=float32)
237695it [22:10:37,  2.98it/s]tf.Tensor(2380.4136, shape=(), dtype=float32)
237696it [22:10:37,  2.96it/s]tf.Tensor(3713.419, shape=(), dtype=float32)
237697it [22:10:37,  2.96it/s]tf.Tensor(3753.4248, shape=(), dtype=float32)
237698it [22:10:38,  3.01it/s]tf.Tensor(2260.6218, shape=(), dtype=float32)
237699it [22:10:38,  3.01it/s]tf.Tensor(2453.0845, shape=(), dtype=float32)
237700it [22:10:38,  3.01it/s]tf.Tensor(3799.898, shape=(), dtype=float32)
237701it [22:10:39,  3.01it/s]tf.Tensor(4196.1978, shape=(), dtype=float32)
237702it [22:10:39,  3.00it/s]tf.Tensor(2531.4758, shape=(), dtype=float32)
237703it [22:10:39,  2.99it/s]tf.Tensor(3288.2788, shape=(), dtype=float32)
237704it [22:10:40,  2.98it/s]tf.Tensor(3252.041, shape=(), dtype=float32)
237705it [22:10:40,  3.01it/s]tf.Tensor(4056.0881, shape=(), dtype=float32)
237706it [22:10:40,  3.01it/s]tf.Tensor(2261.5059, shape=(), dtype=float32)
237707it [22:10:41,  3.00it/s]tf.Tensor(2671.611, shape=(), dtype=float32)
237708it [22:10:41,  2.99it/s]tf.Tensor(3220.0674, shape=(), dtype=float32)
237709it [22:10:41,  3.00it/s]tf.Tensor(3064.5361, shape=(), dtype=float32)
237710it [22:10:42,  3.03it/s]tf.Tensor(3274.3127, shape=(), dtype=float32)
237711it [22:10:42,  3.02it/s]tf.Tensor(1993.305, shape=(), dtype=float32)
237712it [22:10:42,  3.02it/s]tf.Tensor(3070.8584, shape=(), dtype=float32)
237713it [22:10:43,  3.01it/s]tf.Tensor(3158.8845, shape=(), dtype=float32)
237714it [22:10:43,  3.00it/s]tf.Tensor(3005.6328, shape=(), dtype=float32)
237715it [22:10:43,  3.00it/s]tf.Tensor(2583.9507, shape=(), dtype=float32)
237716it [22:10:44,  3.02it/s]tf.Tensor(2523.6677, shape=(), dtype=float32)
